Event/Description,Position,A/C,Dimension,To go,Expected,Planned,Workpackage,W/O-Flags
COMP-71-0024/W9838370 /CF34-10E - TRANSIENT BLEED VALVE; GENERAL VISUAL INSPECTION,L,CMA,H,281:56,13.08.2025,10.08.2025,CMA64151,9838370
COMP-71-0031/W9893767 /CF34-10E - FAN BLADES AND SPINNER; GENERAL VISUAL INSPECTION,L,CMA,H,281:56,13.08.2025,10.08.2025,CMA64151,9893767
COMP-71-0025/W9892554 /CF34-10E - LUBE SYSTEM AND AGB ASSY COMPONENTS; GENERAL VISUAL INSP,L,CMA,H,281:56,13.08.2025,10.08.2025,CMA64151,9892554
FF100FH/FUERA DE FASE 100 FH(2),,GIK,H,278:16,13.08.2025,---,0,
E190-54-0021/RH PYLON LOWER LONK LUGS INSPECTION,,CET,H,284:55,14.08.2025,---,0,
E190-54-0020/LH PYLON LOWER LONK LUGS INSPECTION,,CET,H,284:55,14.08.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION,,CEU,D,31,14.08.2025,---,0,
E190-54-0021/RH PYLON LOWER LONK LUGS INSPECTION,,CHO,H,287:49,14.08.2025,---,0,
E190-54-0020/LH PYLON LOWER LONK LUGS INSPECTION,,CHO,H,287:49,14.08.2025,---,0,
REPLACE 5912855-01/202404406/W11662253 (MAIN BATTERY),F,CHO,H,286:56,14.08.2025,---,0,11662253
REPLACE 4441111-077/0733-15921 (CYLINDER OXYGEN 77 CU FT),U,CHR,D,31,14.08.2025,---,0,
E190-56-0001/COCKPIT WINDSHIELD LH REPETITIVE INSPECTIONS,,CIE,H,284:01,14.08.2025,---,0,
E190-56-0002/COCKPIT WINDSHIELD RH REPETITIVE INSPECTIONS,,CIE,H,284:01,14.08.2025,---,0,
IC01/INTERMEDIATE CHECK 1,,CIG,H,280:28,14.08.2025,---,0,
E190-57-0030/INSPECTION OF THE MF SPOILER SUPPORT FITTINGS (POSITIONS 3 TO 5) AND,,CIG,H,280:28,14.08.2025,---,0,
E190-21-0005/REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS,,CIG,H,280:28,14.08.2025,---,0,
E190-24-0001/SPDA CLEANING PROGRAM,,CIG,H,280:28,14.08.2025,---,0,
E190-25-0016/EGA CHART INSTALLATION CHECK,,CIG,H,280:28,14.08.2025,---,0,
E190-52-0002/PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO,,CIG,H,280:28,14.08.2025,---,0,
E190-44-0001/IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS,,CIG,H,280:28,14.08.2025,---,0,
"E190-51-0002/CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML",,CIG,H,280:28,14.08.2025,---,0,
E190-21-0003/REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS,,CIG,H,280:28,14.08.2025,---,0,
27-00-00-001C-U (0) / POWER CONTROL UNITS (PCU) - INTEGRITY TEST,,CIG,H,280:28,14.08.2025,---,0,
E190-31-0002/MAU GABINET VENTILATION ZONE CLEANING,,CIH,H,285:44,14.08.2025,---,0,
REPLACE 5912855-01/X01376/W11666906 (MAIN BATTERY),F,CMB,H,288:50,14.08.2025,---,0,11666906
E190-34-0001/WEATHER RADAR – ELECTRICAL WIRING INSPECTION,,CHO,D,32,15.08.2025,---,0,
REPLACE 5912855-01/202408877/W11665450 (MAIN BATTERY),A,CHO,H,292:01,15.08.2025,---,0,11665450
IC01/INTERMEDIATE CHECK 1,,CHR,H,294:14,15.08.2025,---,0,
E190-21-0003/REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS,,CHR,H,294:14,15.08.2025,---,0,
E190-44-0001/IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS,,CHR,H,294:14,15.08.2025,---,0,
E190-25-0016/EGA CHART INSTALLATION CHECK,,CHR,H,294:14,15.08.2025,---,0,
"E190-51-0002/CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML",,CHR,H,294:14,15.08.2025,---,0,
E190-24-0001/SPDA CLEANING PROGRAM,,CHR,H,294:14,15.08.2025,---,0,
E190-21-0005/REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS,,CHR,H,294:14,15.08.2025,---,0,
E190-52-0002/PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO,,CHR,H,294:14,15.08.2025,---,0,
27-00-00-001C-U (0) / POWER CONTROL UNITS (PCU) - INTEGRITY TEST,,CHR,H,294:14,15.08.2025,---,0,
GNRL-25-0003/W11106088 /PREVENTION OF FIRE IN LAVATORIES.,,CIE,H,301:03,15.08.2025,16.07.2025,CIE63390,11106088
COMP-71-0018/W9581656 /CF34-10E - OGV & FAIRING / GENERAL VISUAL INSPECTION / CONSOLIDATED,L,CIH,H,291:37,15.08.2025,13.08.2025,CIH64154,9581656
COMP-71-0020/W9584729 /CF34-10E - FORWARD AND AFT CENTERBODY; GENERAL VISUAL INSPECTION,L,CIH,H,291:37,15.08.2025,13.08.2025,CIH64154,9584729
COMP-71-0026/W9891428 /CF34-10E - DRAIN TUBES; GENERAL VISUAL INSPECTION,L,CIH,H,291:37,15.08.2025,13.08.2025,CIH64154,9891428
COMP-71-0019/W9581850 /CF34-10E - LPT REAR FRAME - GENERAL VISUAL INSPECTION / CONSOLIDATED,L,CIH,H,291:37,15.08.2025,13.08.2025,CIH64154,9581850
COMP-71-0024/W9731381 /CF34-10E - TRANSIENT BLEED VALVE; GENERAL VISUAL INSPECTION,L,CIH,H,291:37,15.08.2025,13.08.2025,CIH64154,9731381
COMP-71-0025/W9892598 /CF34-10E - LUBE SYSTEM AND AGB ASSY COMPONENTS; GENERAL VISUAL INSP,L,CIH,H,291:37,15.08.2025,13.08.2025,CIH64154,9892598
COMP-71-0031/W9893810 /CF34-10E - FAN BLADES AND SPINNER; GENERAL VISUAL INSPECTION,L,CIH,H,291:37,15.08.2025,13.08.2025,CIH64154,9893810
COMP-71-0021/W9730917 /CF34-10E - ACCESSORY GEARBOX MOUNTS; GENERAL VISUAL INSPECTION,L,CIH,H,291:37,15.08.2025,13.08.2025,CIH64154,9730917
FF6000FH/24MO/FUERA DE FASE FF 6000 FH/24 MO,,CPI,D,32,15.08.2025,---,0,
FF12MO/FUERA DE FASE 12 MO,,CPI,D,32,15.08.2025,---,0,
BA23094-1/50273 FC(FUNCTIONAL CHECK) / 26-25-01-002-U,U,CPI,D,32,15.08.2025,---,0,
7517400-950/0608B694 FT(FUNCTIONAL TEST) / ATC FUNCTIONAL TEST (RAAC 91.413),F,CPI,D,32,15.08.2025,---,0,
7517400-950/0707C993 FT(FUNCTIONAL TEST) / ATC FUNCTIONAL TEST (RAAC 91.413),A,CPI,D,32,15.08.2025,---,0,
REPLACE 90002317-2WT/JUL13-4503 (MAIN WHEEL TIRE ASSY),R02,GIQ,C,210,15.08.2025,---,0,
IC08/INTERMEDIATE CHECK 8,,CHR,H,308:42,16.08.2025,---,0,
REPLACE 5912855-01/V00419/W11693818 (MAIN BATTERY),F,CIF,H,308:51,16.08.2025,---,0,11693818
IC01/INTERMEDIATE CHECK 1,,CKZ,H,304:29,16.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CKZ,H,303:10,16.08.2025,---,0,
E190-21-0003/REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS,,CKZ,H,304:29,16.08.2025,---,0,
E190-57-0004/INSPECTION OF THE MF SPOILER SUPPORT FITTINGS (POSITIONS 3 TO 5) AND,,CKZ,H,304:29,16.08.2025,---,0,
E190-57-0030/INSPECTION OF THE MF SPOILER SUPPORT FITTINGS (POSITIONS 3 TO 5) AND,,CKZ,H,304:29,16.08.2025,---,0,
E190-44-0001/IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS,,CKZ,H,304:29,16.08.2025,---,0,
E190-25-0016/EGA CHART INSTALLATION CHECK,,CKZ,H,304:29,16.08.2025,---,0,
"E190-51-0002/CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML",,CKZ,H,304:29,16.08.2025,---,0,
E190-52-0002/PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO,,CKZ,H,304:29,16.08.2025,---,0,
E190-21-0005/REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS,,CKZ,H,304:29,16.08.2025,---,0,
E190-24-0001/SPDA CLEANING PROGRAM,,CKZ,H,304:29,16.08.2025,---,0,
27-00-00-001C-U (0) / POWER CONTROL UNITS (PCU) - INTEGRITY TEST,,CKZ,H,304:29,16.08.2025,---,0,
IC04/INTERMEDIATE CHECK 4,,CMA,H,307:52,16.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CMA,H,311:31,16.08.2025,---,0,
REPLACE 90000581-1WTA/DEC14-5155 (NOSE WHEEL TIRE ASSY),001,CMB,C,221,16.08.2025,---,0,
E190-53-0113/CPI - LSD REPETITIVE INSPECTIONS,,CPI,C,221,16.08.2025,---,0,
E190-71-0021/RH - THRUST REVERSER ASSEMBLY; TRACK LINERS LUBRICATION,,CPI,D,33,16.08.2025,---,0,
E190-23-0001/SELCAL CODE VERIFICATION,,CPI,D,33,16.08.2025,---,0,
E190-71-0020/LH - THRUST REVERSER ASSEMBLY; TRACK LINERS LUBRICATION,,CPI,D,33,16.08.2025,---,0,
REPLACE 5912855-01/202404412/W11677432 (MAIN BATTERY),F,GIK,H,300:36,16.08.2025,---,0,11677432
REPLACE 5912855-01/201601736/W11677440 (MAIN BATTERY),A,GIK,H,300:36,16.08.2025,---,0,11677440
REPLACE 90002317-2WT/MAY06-0412 (MAIN WHEEL TIRE ASSY),L02,GIK,C,220,16.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,GIQ,H,309:02,16.08.2025,---,0,
COMP-71-0015/CF34-10E - FAN BLADE LUBRICATION CONSOLIDATED ON-WING INSPECTION RECOM,R,CHQ,C,223,17.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CHR,H,313:18,17.08.2025,---,0,
E190-26-0002/W11122870 /FIRE PROTECTION - COLOR CODED IDENTIFICATION FOR ELECTRICAL WIRING CON,,CMA,H,317:48,17.08.2025,20.07.2025,CMA28950,11122870
FF100FH/FUERA DE FASE 100 FH(3),,CMB,H,311:06,17.08.2025,---,0,
GNRL-25-0003/W11356734 /PREVENTION OF FIRE IN LAVATORIES.,,CPI,H,312:12,17.08.2025,15.07.2025,CPI63707,11356734
COMP-71-0015/CF34-10E - FAN BLADE LUBRICATION CONSOLIDATED ON-WING INSPECTION RECOM,R,CDY,C,231,18.08.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(1),,CDY,H,320:33,18.08.2025,---,0,
E190-08-0001/W9525483 /AIRCRAFT WEIGHING AND LONGITUDINAL C.G CALCULATION,,CET,D,35,18.08.2025,---,0,9525483
REPLACE 5912855-01/V03207/W11687702 (MAIN BATTERY),F,CHR,H,323:57,18.08.2025,---,0,11687702
FF100FH/FUERA DE FASE 100 FH(3),,CHS,H,325:22,18.08.2025,---,0,
REPLACE 90000581-1WTA/JUL10-3195/0039 (NOSE WHEEL TIRE ASSY),002,CHS,C,236,18.08.2025,---,0,
GNRL-25-0003/W11144983 /PREVENTION OF FIRE IN LAVATORIES.,,CID,H,317:09,18.08.2025,15.07.2025,CID63698,11144983
E190-57-0100/LV-CIE - FLAP TRACK 2A RH - REPETITIVE INSPECTIONS(1),,CIE,C,231,18.08.2025,---,0,
REPLACE 5912855-01/X00598/W11680093 (MAIN BATTERY),A,CIE,H,321:57,18.08.2025,---,0,11680093
FF100FH/FUERA DE FASE 100 FH(3),,FPT,H,315:02,18.08.2025,---,0,
IC02/INTERMEDIATE CHECK 2,,GIQ,H,328:49,18.08.2025,---,0,
E190-36-0001/REPLACEMENT PROGRAM OF THE CROSS-BLEED VALVE FILTER PN 727604-5 (OEM),,GIQ,H,328:49,18.08.2025,---,0,
E190-38-0001/VACCUM WATER WASTE DRAIN CAP REPLACEMENT CAMPAIGN,,GIQ,H,328:49,18.08.2025,---,0,
E190-21-0009/DUAL HEAT EXCHANGERS - PERFORMANCE TEST,,GIQ,H,328:49,18.08.2025,---,0,
"GNRL-11-0005/EXTERIOR SCHEME - SECRETARIA DE TURISMO ""MARCA PAIS"" LOGO"" 2022 REPETI",,GIQ,H,328:49,18.08.2025,---,0,
E190-21-0007/FORWARD AND MIDDLE AVIONICS COMPARTMENT FLOW SENSORS CLEANING,,GIQ,H,328:49,18.08.2025,---,0,
E190-36-0002/REPLACE PROGRAM OF THE HIGH-STAGE BLEED VALVE FILTERS PN 808574-6,,GIQ,H,328:49,18.08.2025,---,0,
E190-21-0004/REPLACE PROGRAM OF THE FORWARD CARGO COMPARTMENT SHUTOFF VALVE FILTER,,GIQ,H,328:49,18.08.2025,---,0,
REPLACE 01N65920/21 26 7409 (ELT (MODEL 406S)),U,CDZ,D,36,19.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CET,H,330:05,19.08.2025,---,0,
REPLACE 5912855-01/A04271 (MAIN BATTERY),A,CET,H,334:04,19.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CEV,H,327:31,19.08.2025,---,0,
"REPLACE 104005-1/EE1660 (SLIDE ASSY, AFT)",PAX,CEV,D,36,19.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CHO,H,331:10,19.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CIE,H,334:27,19.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CIH,H,327:38,19.08.2025,---,0,
REPLACE 501-1228-04/86541/W11328378 (FLY-BY-WIRE BATTERY),U,CMA,D,36,19.08.2025,20.07.2025,CMA28950,11328378
REPLACE 190-70550-403/00745/W98547 (NLG DRAG BRACE ASSY),U,FPT,D,36,19.08.2025,18.08.2025,FPT28957,98547
REPLACE 190-70745-403/00712/W96899 (NLG SHOCK STRUT EQU),U,FPT,D,36,19.08.2025,18.08.2025,FPT28957,96899
REPLACE 190-70650-401/00696/W108936 (NLG LOCK STAY ASSY),U,FPT,D,36,19.08.2025,18.08.2025,FPT28957,108936
FF100FH/FUERA DE FASE 100 FH(3),,CDZ,H,341:17,20.08.2025,---,0,
REPLACE RT-A1200/Y-501791 (HALON PORTABLE EXTINGUISHER),CRW,CDZ,D,37,20.08.2025,---,0,
"REPLACE 104003-2/EF1525 (SLIDE ASSY, FWD)",SVC,CET,D,37,20.08.2025,---,0,
REPLACE 90000581-1WTA/JUL16-5865 (NOSE WHEEL TIRE ASSY),002,CHR,C,246,20.08.2025,---,0,
REPLACE RT-A1200/D58293615 (HALON PORTABLE EXTINGUISHER),FW2,CHS,D,37,20.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CID,H,338:38,20.08.2025,---,0,
E190-54-0021/RH PYLON LOWER LONK LUGS INSPECTION,,CID,H,338:33,20.08.2025,---,0,
E190-54-0020/LH PYLON LOWER LONK LUGS INSPECTION,,CID,H,338:33,20.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CIG,H,335:28,20.08.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(1),,CKZ,H,341:16,20.08.2025,---,0,
E190-34-0001/WEATHER RADAR – ELECTRICAL WIRING INSPECTION,,CMB,D,37,20.08.2025,---,0,
REPLACE RT-A1200/A25950688 (HALON PORTABLE EXTINGUISHER),FW1,CPJ,D,37,20.08.2025,---,0,
REPLACE 190-70555-001/1479062/006 (NLG DB-PIN PINTLE),U,FPT,D,37,20.08.2025,---,0,
REPLACE 170-70655-003/1481702/003 (NLG LS-LOCKING UPPER),U,FPT,D,37,20.08.2025,---,0,
REPLACE 170-70475-901/16845/036 (NLG PINION),U,FPT,D,37,20.08.2025,---,0,
REPLACE 170-70667-001/1478917/005 (NLG LS-CARDAN),U,FPT,D,37,20.08.2025,---,0,
REPLACE 190-70470-003/1473868/001 (NLG LOWER CAM),U,FPT,D,37,20.08.2025,---,0,
REPLACE 170-70476-901/17089/024 (NLG RACK),U,FPT,D,37,20.08.2025,---,0,
REPLACE 170-70480-003/1462836/003 (NLG STEERING CYL),U,FPT,D,37,20.08.2025,---,0,
REPLACE 170-70480-003/1462836/004 (NLG STEERING CYL),U,FPT,D,37,20.08.2025,---,0,
REPLACE 190-70560-001/1479065/003 (NLG DB-AXLE MIDDLE),U,FPT,D,37,20.08.2025,---,0,
REPLACE 190-70658-005/1483090/008 (NLG LS-LOCKING LOWER),U,FPT,D,37,20.08.2025,---,0,
REPLACE 190-70553-005/1483089/001 (NLG DB-UPPER BRACE),U,FPT,D,37,20.08.2025,---,0,
REPLACE 190-70556-001/1456486/011 (NLG DB-LOWER BRACE),U,FPT,D,37,20.08.2025,---,0,
REPLACE 190-70555-001/1479062/002 (NLG DB-PIN PINTLE),U,FPT,D,37,20.08.2025,---,0,
REPLACE 90002317-2WT/MAY05-0113 (MAIN WHEEL TIRE ASSY),R02,CDY,C,249,21.08.2025,---,0,
FF6MO/FUERA DE FASE DE 6 MO,,CET,D,38,21.08.2025,---,0,
COMP-72-0286/CF34-10 - BSI TO VERIFY IGB PINION BEVEL GEAR DAMPER RING INSTALLATION,L,CET,H,353:18,21.08.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(1),,CHO,H,345:47,21.08.2025,---,0,
REPLACE 5500-C1W-BF15A/P10062032 (PORTABLE OXYGEN CYLINDER),AF2,CHO,D,38,21.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CHQ,H,351:26,21.08.2025,---,0,
GNRL-31-0001/PERIODIC READ OUT OF FDR,,CHS,D,38,21.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CIF,H,349:05,21.08.2025,---,0,
COMP-72-0080/W10594266 /CF34-10E - ENGINE FAN BLADES MAPPING OF DAMAGES,L,CKZ,C,249,21.08.2025,---,0,10594266
REPLACE 5912855-01/V01700 (MAIN BATTERY),A,CMA,H,349:41,21.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CPJ,H,351:32,21.08.2025,---,0,
REPLACE 473597-18/2172/W10018390 (DETECTOR-SMOKE MODEL),FW1,CPJ,H,352:02,21.08.2025,---,0,10018390
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",L,GIK,H,350:02,21.08.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",R,GIK,H,350:02,21.08.2025,---,0,
REPLACE 5500-C1W-BF15A/P10011426 (PORTABLE OXYGEN CYLINDER),AF1,GIQ,D,38,21.08.2025,---,0,
GNRL-25-0003/W11363095 /PREVENTION OF FIRE IN LAVATORIES.,,CDZ,H,354:28,22.08.2025,04.07.2025,CDZ64023,11363095
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION,,CDZ,D,39,22.08.2025,---,0,
GNRL-38-0001/POTABLE WATER SYSTEM. INCORPORATION OF STERILIZATION CONTROL CHART,,CET,D,39,22.08.2025,---,0,
IC01/INTERMEDIATE CHECK 1,,CHQ,H,358:20,22.08.2025,---,0,
E190-57-0030/INSPECTION OF THE MF SPOILER SUPPORT FITTINGS (POSITIONS 3 TO 5) AND,,CHQ,H,358:20,22.08.2025,---,0,
E190-52-0002/PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO,,CHQ,H,358:20,22.08.2025,---,0,
E190-21-0005/REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS,,CHQ,H,358:20,22.08.2025,---,0,
E190-24-0001/SPDA CLEANING PROGRAM,,CHQ,H,358:20,22.08.2025,---,0,
E190-25-0016/EGA CHART INSTALLATION CHECK,,CHQ,H,358:20,22.08.2025,---,0,
"E190-51-0002/CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML",,CHQ,H,358:20,22.08.2025,---,0,
E190-21-0003/REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS,,CHQ,H,358:20,22.08.2025,---,0,
E190-44-0001/IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS,,CHQ,H,358:20,22.08.2025,---,0,
27-00-00-001C-U (0) / POWER CONTROL UNITS (PCU) - INTEGRITY TEST,,CHQ,H,358:20,22.08.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION,,CHR,D,39,22.08.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(1),,CID,H,352:33,22.08.2025,---,0,
GNRL-25-0003/W11301999 /PREVENTION OF FIRE IN LAVATORIES.,,CIH,H,356:16,22.08.2025,21.07.2025,CIH64025,11301999
E190-34-0001/WEATHER RADAR – ELECTRICAL WIRING INSPECTION,,CIH,D,39,22.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CPI,H,360:56,22.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CDY,H,369:17,23.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,CEU,H,362:35,23.08.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(1),,CID,H,362:47,23.08.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION,,CIE,D,40,23.08.2025,---,0,
IC01/INTERMEDIATE CHECK 1,,CIF,H,368:47,23.08.2025,---,0,
E190-24-0001/SPDA CLEANING PROGRAM,,CIF,H,368:47,23.08.2025,---,0,
E190-44-0001/IFE - CLEANING OF THE EQUIPMENT AND REPLACEMENT OF FILTERS,,CIF,H,368:47,23.08.2025,---,0,
E190-25-0016/EGA CHART INSTALLATION CHECK,,CIF,H,368:47,23.08.2025,---,0,
E190-52-0002/PAX AND SERVICE DOORS - LUBRICATION POINTS ACCORDING TO,,CIF,H,368:47,23.08.2025,---,0,
"E190-51-0002/CLEANING AND RESTORATION OF CORROSION INHIBITION COMPOUND (CIC), IN ML",,CIF,H,368:47,23.08.2025,---,0,
E190-21-0003/REPLACE PROGRAM OF THE PACK BYPASS VALVE FILTERS,,CIF,H,368:47,23.08.2025,---,0,
E190-21-0005/REPLACEMENT PROGRAM OF TRIM AIR MODULATING FILTERS,,CIF,H,368:47,23.08.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION,,CIF,D,40,23.08.2025,---,0,
27-00-00-001C-U (0) / POWER CONTROL UNITS (PCU) - INTEGRITY TEST,,CIF,H,368:47,23.08.2025,---,0,
53-10-009-0004-U (0) / FORWARD SERVICE DOOR CUTOUT STRUCTURE – INTERNAL,,CPI,C,265,23.08.2025,---,0,
53-10-008-0004-U (0) / FORWARD PASSENGER DOOR CUTOUT STRUCTURE - INTERNAL,,CPI,C,265,23.08.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(1),,GIQ,H,371:35,23.08.2025,---,0,
REPLACE 5500-C1W-BF15A/P10060577/W10491279 (PORTABLE OXYGEN CYLINDER),AF1,CDY,D,41,24.08.2025,---,0,10491279
REPLACE 90002317-2WT/OCT07-1382 (MAIN WHEEL TIRE ASSY),L02,CDZ,C,269,24.08.2025,---,0,
CF34-10E SB 72-0375/HIGH PRESSURE TURBINE ROTOR ASSEMBLY,R,CHO,C,268,24.08.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(1),,CHQ,H,384:05,24.08.2025,---,0,
GNRL-25-0003/W11309243 /PREVENTION OF FIRE IN LAVATORIES.,,CHS,H,382:58,24.08.2025,26.07.2025,CHS64035,11309243
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION,,CPI,D,41,24.08.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",R,FPT,H,376:34,24.08.2025,---,0,
"COMP-71-0030/CF34-10E - ENGINE WASHING, CLEANING CONSOLIDATED ON-WING INSPECTION",L,FPT,H,376:34,24.08.2025,---,0,
FF100FH/FUERA DE FASE 100 FH(3),,GIK,H,378:16,24.08.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION,,GIQ,D,41,24.08.2025,---,0,
REPLACE 5912855-01/V04523 (MAIN BATTERY),F,CEV,H,388:36,25.08.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION,,CHO,D,42,25.08.2025,---,0,
GNRL-25-0008/CABIN INTERIOR - AIRCRAFT DISINSECTION,,CKZ,D,42,25.08.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(1),,GIK,H,383:06,25.08.2025,---,0,
GNRL-25-0003/W11291495 /PREVENTION OF FIRE IN LAVATORIES.,,GIK,H,381:27,25.08.2025,24.07.2025,GIK64030,11291495
E190-26-0002/W11122855 /FIRE PROTECTION - COLOR CODED IDENTIFICATION FOR ELECTRICAL WIRING CON,,CDY,H,398:03,26.08.2025,---,0,11122855
COMP-71-0016/CF34-10E - MAIN IGNITER PLUG REPLACEMENT,R,CDZ,H,395:04,26.08.2025,---,0,
"REPLACE 104003-2/EF1594 (SLIDE ASSY, FWD)",SVC,CHO,D,43,26.08.2025,---,0,
IC05/INTERMEDIATE CHECK 5,,CHQ,H,396:16,26.08.2025,---,0,
COMP-71-0016/CF34-10E - MAIN IGNITER PLUG REPLACEMENT,L,CHR,H,399:42,26.08.2025,---,0,
E190-34-0001/WEATHER RADAR – ELECTRICAL WIRING INSPECTION,,CID,D,43,26.08.2025,---,0,
"COMP-71-0029/W11190448 /CF34-10E - ENGINE MOUNT SYSTEM, GENERAL VISUAL INSPECTION CONSOLIDATE",L,CIH,H,393:03,26.08.2025,13.08.2025,CIH64154,11190448
CF34-10E5A1G07/994992 VI(VISUAL INSPECTION) / 72-23-00-003-U,R,CMA,H,399:24,26.08.2025,---,0,
CF34-10E5A1G07/994992 VI(VISUAL INSPECTION) / 72-32-00-002-U,R,CMA,H,399:24,26.08.2025,---,0,
CF34-10E5A1G07/994992 DE(DETAILED INSPECTION) / 72-23-00-001-U,R,CMA,H,399:24,26.08.2025,---,0,
REPLACE 5912855-01/X02369 (MAIN BATTERY),A,FPT,H,392:15,26.08.2025,---,0,
REPLACE 5500-C1W-BF15A/P09010021 (PORTABLE OXYGEN CYLINDER),FW1,GIK,D,43,26.08.2025,---,0,
FF6MO/FUERA DE FASE DE 6 MO,,CDZ,D,44,27.08.2025,---,0,
GNRL-38-0001/POTABLE WATER SYSTEM. INCORPORATION OF STERILIZATION CONTROL CHART,,CDZ,D,44,27.08.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(1),,CET,H,409:40,27.08.2025,---,0,
REPLACE 501-1228-04/83687 (FLY-BY-WIRE BATTERY),U,CHR,D,44,27.08.2025,---,0,
IC04/INTERMEDIATE CHECK 4,,CHS,H,409:03,27.08.2025,---,0,
IC05/INTERMEDIATE CHECK 5,,CEU,H,408:45,28.08.2025,---,0,
COMP-57-0040/INBOARD FLAP TRACK FAIRING - TEMPORARY REPAIR INSPECTION,57524GRT2,CID,C,293,28.08.2025,---,0,
E190-29-0007/AIR BLEEDING OF THE HYDRAULIC SYSTEMS(1),,CIE,H,416:37,28.08.2025,---,0,
FF350FH/FUERA DE FASE 350 FH(1),,CIG,H,410:40,28.08.2025,---,0,
E190-54-0021/RH PYLON LOWER LONK LUGS INSPECTION,,CKZ,H,409:33,28.08.2025,---,0,
E190-54-0020/LH PYLON LOWER LONK LUGS INSPECTION,,CKZ,H,409:33,28.08.2025,---,0,
GNRL-25-0003/PREVENTION OF FIRE IN LAVATORIES.,,CMA,H,416:47,28.08.2025,---,0,
